Log saved to: /home/pi/2021-11-10_03h00m06s.log
Device manager connected to 192.168.1.10
Camera time set to: 2021-11-10 03:00:07
Device manager disconnected
Path to clean from old video files: /home/pi
2021-11-10 16:26:36.39 STOP MOTION ----------
2021-11-10 16:29:47.714 START MOTION ---------
2021-11-10 16:29:50.827 STOP MOTION ----------
2021-11-10 16:44:39.996 START MOTION ---------
2021-11-10 16:44:45.24 STOP MOTION ----------
2021-11-10 16:45:38.129 START MOTION ---------
2021-11-10 16:45:44.866 STOP MOTION ----------
2021-11-10 16:45:51.958 START MOTION ---------
2021-11-10 16:45:55.732 STOP MOTION ----------
2021-11-10 16:47:01.582 START MOTION ---------
2021-11-10 16:47:07.886 STOP MOTION ----------
2021-11-10 16:53:16.443 START MOTION ---------
2021-11-10 16:53:22.794 STOP MOTION ----------
2021-11-10 16:56:15.852 START MOTION ---------
2021-11-10 16:56:22.561 STOP MOTION ----------
2021-11-10 17:04:06.297 START MOTION ---------
2021-11-10 17:04:21.86 STOP MOTION ----------
2021-11-10 17:05:17.641 START MOTION ---------
2021-11-10 17:05:34.918 STOP MOTION ----------
2021-11-10 17:08:02.819 START MOTION ---------
2021-11-10 17:08:12.624 STOP MOTION ----------
2021-11-10 17:20:24.52 START MOTION ---------
2021-11-10 17:20:42.368 STOP MOTION ----------
2021-11-10 17:29:02.935 START MOTION ---------
2021-11-10 17:29:09.662 STOP MOTION ----------
2021-11-10 17:38:02.57 START MOTION ---------
2021-11-10 17:38:06.471 STOP MOTION ----------
2021-11-10 17:39:32.389 START MOTION ---------
2021-11-10 17:39:37.433 STOP MOTION ----------
2021-11-10 17:39:57.570 START MOTION ---------
2021-11-10 17:41:15.908 STOP MOTION ----------
2021-11-10 17:41:27.650 START MOTION ---------
2021-11-10 17:41:42.115 STOP MOTION ----------
2021-11-10 17:41:52.365 START MOTION ---------
2021-11-10 17:42:15.60 STOP MOTION ----------
2021-11-10 17:42:35.952 START MOTION ---------
2021-11-10 17:42:45.225 STOP MOTION ----------
2021-11-10 17:47:16.713 START MOTION ---------
2021-11-10 17:47:54.530 STOP MOTION ----------
2021-11-10 18:01:57.288 START MOTION ---------
2021-11-10 18:02:11.535 STOP MOTION ----------
2021-11-10 18:03:01.596 START MOTION ---------
2021-11-10 18:03:07.445 STOP MOTION ----------
2021-11-10 18:04:31.206 START MOTION ---------
2021-11-10 18:04:43.502 STOP MOTION ----------
2021-11-10 18:08:43.868 START MOTION ---------
2021-11-10 18:08:46.267 STOP MOTION ----------
2021-11-10 18:25:00.776 START MOTION ---------
2021-11-10 18:25:10.682 STOP MOTION ----------
2021-11-10 18:33:36.559 START MOTION ---------
2021-11-10 18:33:44.855 STOP MOTION ----------
2021-11-10 18:37:38.32 START MOTION ---------
2021-11-10 18:37:44.430 STOP MOTION ----------
2021-11-10 18:39:11.120 START MOTION ---------
2021-11-10 18:39:17.528 STOP MOTION ----------
2021-11-10 18:56:57.298 START MOTION ---------
2021-11-10 18:57:06.398 STOP MOTION ----------
2021-11-10 19:06:40.156 START MOTION ---------
2021-11-10 19:06:55.911 STOP MOTION ----------
2021-11-10 19:07:11.122 START MOTION ---------
2021-11-10 19:07:23.116 STOP MOTION ----------
2021-11-10 19:09:07.663 START MOTION ---------
2021-11-10 19:09:11.254 STOP MOTION ----------
2021-11-10 19:13:45.941 START MOTION ---------
2021-11-10 19:14:07.687 STOP MOTION ----------
2021-11-10 19:14:10.646 START MOTION ---------
no key frame found -> close output file
2021-11-10 19:14:57.198 STOP MOTION ----------
2021-11-10 19:15:27.529 START MOTION ---------
2021-11-10 19:15:34.798 STOP MOTION ----------
2021-11-10 19:16:03.592 START MOTION ---------
2021-11-10 19:16:08.468 STOP MOTION ----------
2021-11-10 19:20:03.507 START MOTION ---------
2021-11-10 19:20:10.272 STOP MOTION ----------
2021-11-10 19:21:59.304 START MOTION ---------
2021-11-10 19:22:14.334 STOP MOTION ----------
2021-11-10 19:22:52.101 START MOTION ---------
2021-11-10 19:22:58.41 STOP MOTION ----------
2021-11-10 19:24:29.45 START MOTION ---------
2021-11-10 19:25:22.556 STOP MOTION ----------
2021-11-10 19:26:58.943 START MOTION ---------
2021-11-10 19:27:04.292 STOP MOTION ----------
2021-11-10 19:42:03.125 START MOTION ---------
2021-11-10 19:42:11.916 STOP MOTION ----------
2021-11-10 19:43:06.318 START MOTION ---------
2021-11-10 19:43:30.624 STOP MOTION ----------
2021-11-10 19:49:13.775 START MOTION ---------
2021-11-10 19:49:26.671 STOP MOTION ----------
